Requisition_ID,Department,Open_Date,Time_To_Fill_Days,Candidate_Count,Offer_Accepted,Hire_Date,Hiring_Manager
REQ00001,Planning,2024-03-12,113,47,No,2024-07-03,MGR0257
REQ00002,IT,2023-06-09,53,142,Yes,2023-08-01,MGR0093
REQ00003,Customer Service,2023-09-17,63,137,Yes,2023-11-19,MGR0222
REQ00004,Operations,2023-08-16,23,119,Yes,2023-09-08,MGR0016
REQ00005,Operations,2023-04-24,25,102,Yes,2023-05-19,MGR0027
REQ00006,HR,2025-03-28,30,32,Yes,2025-04-27,MGR0192
REQ00007,Planning,2025-06-19,79,79,Yes,2025-09-06,MGR0099
REQ00008,Operations,2024-12-20,55,80,Yes,2025-02-13,MGR0119
REQ00009,Operations,2024-11-15,70,98,Yes,2025-01-24,MGR0051
REQ00010,Safety & Compliance,2024-01-22,27,94,No,2024-02-18,MGR0216
REQ00011,IT,2024-12-10,66,98,Yes,2025-02-14,MGR0020
REQ00012,Maintenance,2025-05-19,52,34,Yes,2025-07-10,MGR0221
REQ00013,Operations,2025-08-12,27,10,Yes,2025-09-08,MGR0132
REQ00014,Maintenance,2023-05-09,45,58,No,2023-06-23,MGR0186
REQ00015,Maintenance,2023-11-27,58,98,Yes,2024-01-24,MGR0228
REQ00016,Finance,2024-12-24,20,72,Yes,2025-01-13,MGR0289
REQ00017,Planning,2024-08-11,83,42,Yes,2024-11-02,MGR0138
REQ00018,Customer Service,2024-06-25,25,115,Yes,2024-07-20,MGR0199
REQ00019,Operations,2024-02-10,57,94,Yes,2024-04-07,MGR0056
REQ00020,Operations,2024-03-22,63,28,Yes,2024-05-24,MGR0274
REQ00021,Customer Service,2023-12-25,34,77,Yes,2024-01-28,MGR0202
REQ00022,Operations,2025-07-19,53,22,Yes,2025-09-10,MGR0099
REQ00023,IT,2024-11-27,102,132,Yes,2025-03-09,MGR0277
REQ00024,IT,2023-08-04,86,22,Yes,2023-10-29,MGR0043
REQ00025,Maintenance,2025-03-09,44,114,Yes,2025-04-22,MGR0162
REQ00026,Safety & Compliance,2023-06-26,62,63,Yes,2023-08-27,MGR0100
REQ00027,Maintenance,2024-09-12,66,70,Yes,2024-11-17,MGR0061
REQ00028,IT,2023-03-24,80,44,No,2023-06-12,MGR0209
REQ00029,Operations,2023-08-13,66,135,Yes,2023-10-18,MGR0151
REQ00030,Safety & Compliance,2025-04-02,60,34,Yes,2025-06-01,MGR0164
REQ00031,Maintenance,2025-09-30,75,17,Yes,2025-12-14,MGR0258
REQ00032,Customer Service,2025-08-04,39,91,No,2025-09-12,MGR0175
REQ00033,Maintenance,2024-01-06,67,51,Yes,2024-03-13,MGR0122
REQ00034,Operations,2023-09-10,63,8,Yes,2023-11-12,MGR0077
REQ00035,Operations,2024-03-11,75,22,Yes,2024-05-25,MGR0135
REQ00036,IT,2023-02-13,85,78,Yes,2023-05-09,MGR0048
REQ00037,Operations,2023-01-05,44,23,No,2023-02-18,MGR0213
REQ00038,Operations,2024-09-02,57,127,Yes,2024-10-29,MGR0033
REQ00039,Safety & Compliance,2025-07-25,36,32,Yes,2025-08-30,MGR0274
REQ00040,Customer Service,2025-04-16,23,98,Yes,2025-05-09,MGR0139
REQ00041,Maintenance,2025-12-02,39,145,Yes,2026-01-10,MGR0298
REQ00042,Finance,2025-06-11,23,143,Yes,2025-07-04,MGR0212
REQ00043,Customer Service,2024-02-10,43,29,Yes,2024-03-24,MGR0287
REQ00044,Customer Service,2025-12-26,30,81,Yes,2026-01-25,MGR0211
REQ00045,Maintenance,2023-11-28,56,38,Yes,2024-01-23,MGR0284
REQ00046,Operations,2024-12-05,61,145,Yes,2025-02-04,MGR0202
